season,round,driver,grid,status,points,podium,weather_warm,weather_cold,weather_wet,weather_cloudy,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,driver_age,circuit_id_albert_park,circuit_id_americas,circuit_id_bahrain,circuit_id_baku,circuit_id_catalunya,circuit_id_hockenheimring,circuit_id_hungaroring,circuit_id_interlagos,circuit_id_marina_bay,circuit_id_monaco,circuit_id_monza,circuit_id_red_bull_ring,circuit_id_ricard,circuit_id_rodriguez,circuit_id_sepang,circuit_id_shanghai,circuit_id_silverstone,circuit_id_sochi,circuit_id_spa,circuit_id_suzuka,circuit_id_villeneuve,circuit_id_yas_marina,nationality_Australian,nationality_British,nationality_Canadian,nationality_Danish,nationality_Dutch,nationality_Finnish,nationality_French,nationality_German,nationality_Mexican,nationality_Russian,nationality_Spanish,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_red_bull,constructor_williams
2014,1,hamilton,1,Mechanical Issue,0.0,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,1,massa,9,Incident,0.0,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,1,kobayashi,14,Incident,0.0,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,ricciardo,2,Incident,0.0,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,2,hamilton,1,Finished,25.0,1,0,0,0,0,0.0,0.0,19.0,25.0,1.0,2.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,2,rosberg,3,Finished,18.0,2,0,0,0,0,25.0,1.0,1.0,25.0,1.0,2.0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,2,vettel,2,Finished,15.0,3,0,0,0,0,0.0,0.0,18.0,0.0,0.0,11.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,2,alonso,4,Finished,12.0,4,0,0,0,0,12.0,0.0,4.0,18.0,0.0,3.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2014,2,hulkenberg,7,Finished,10.0,5,0,0,0,0,8.0,0.0,6.0,9.0,0.0,5.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,2,button,10,Finished,8.0,6,0,0,0,0,15.0,0.0,3.0,33.0,0.0,1.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,2,massa,13,Finished,6.0,7,0,0,0,0,0.0,0.0,20.0,10.0,0.0,4.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,2,bottas,18,Finished,4.0,8,0,0,0,0,10.0,0.0,5.0,10.0,0.0,4.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,2,kevin_magnussen,8,Finished,2.0,9,0,0,0,0,18.0,0.0,2.0,33.0,0.0,1.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,2,kvyat,11,Finished,1.0,10,0,0,0,0,2.0,0.0,9.0,6.0,0.0,6.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2014,2,grosjean,15,Finished,0.0,11,0,0,0,0,0.0,0.0,15.0,0.0,0.0,9.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,2,raikkonen,6,Finished,0.0,12,0,0,0,0,6.0,0.0,7.0,18.0,0.0,3.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,2,kobayashi,20,Finished,0.0,13,0,0,0,0,0.0,0.0,21.0,0.0,0.0,10.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,ericsson,22,Finished,0.0,14,0,0,0,0,0.0,0.0,17.0,0.0,0.0,10.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,chilton,21,Finished,0.0,15,0,0,0,0,0.0,0.0,13.0,0.0,0.0,8.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,ricciardo,5,Mechanical Issue,0.0,16,0,0,0,0,0.0,0.0,22.0,0.0,0.0,11.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,2,gutierrez,12,Mechanical Issue,0.0,17,0,0,0,0,0.0,0.0,12.0,0.0,0.0,7.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014,2,sutil,17,Mechanical Issue,0.0,18,0,0,0,0,0.0,0.0,11.0,0.0,0.0,7.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,2,vergne,9,Mechanical Issue,0.0,19,0,0,0,0,4.0,0.0,8.0,6.0,0.0,6.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,2,jules_bianchi,19,Mechanical Issue,0.0,20,0,0,0,0,0.0,0.0,14.0,0.0,0.0,8.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,maldonado,16,Mechanical Issue,0.0,21,0,0,0,0,0.0,0.0,16.0,0.0,0.0,9.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,2,perez,14,Incident,0.0,22,0,0,0,0,1.0,0.0,10.0,9.0,0.0,5.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2014,3,hamilton,2,Finished,25.0,1,1,0,0,0,25.0,1.0,2.0,68.0,2.0,1.0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,3,rosberg,1,Finished,18.0,2,1,0,0,0,43.0,1.0,1.0,68.0,2.0,1.0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
