season,round,circuit_id,driver,nationality,constructor,grid,status,points,podium,weather_warm,weather_cold,weather_wet,weather_cloudy,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,driver_age
2014,3,bahrain,hamilton,British,mercedes,2,Finished,25.0,1,1,0,0,0,25.0,1.0,2.0,68.0,2.0,1.0,29
2014,3,bahrain,rosberg,German,mercedes,1,Finished,18.0,2,1,0,0,0,43.0,1.0,1.0,68.0,2.0,1.0,28
2014,3,bahrain,perez,Mexican,aston_martin,4,Finished,15.0,3,1,0,0,0,1.0,0.0,13.0,19.0,0.0,5.0,24
2014,3,bahrain,ricciardo,Australian,red_bull,13,Finished,12.0,4,1,0,0,0,0.0,0.0,22.0,15.0,0.0,6.0,24
2014,3,bahrain,hulkenberg,German,aston_martin,11,Finished,10.0,5,1,0,0,0,18.0,0.0,6.0,19.0,0.0,5.0,26
2014,3,bahrain,vettel,German,red_bull,10,Finished,8.0,6,1,0,0,0,15.0,0.0,7.0,15.0,0.0,6.0,26
2014,3,bahrain,massa,Brazilian,williams,7,Finished,6.0,7,1,0,0,0,6.0,0.0,10.0,20.0,0.0,4.0,32
2014,3,bahrain,bottas,Finnish,williams,3,Finished,4.0,8,1,0,0,0,14.0,0.0,8.0,20.0,0.0,4.0,24
2014,3,bahrain,alonso,Spanish,ferrari,9,Finished,2.0,9,1,0,0,0,24.0,0.0,3.0,30.0,0.0,3.0,32
2014,3,bahrain,raikkonen,Finnish,ferrari,5,Finished,1.0,10,1,0,0,0,6.0,0.0,9.0,30.0,0.0,3.0,34
2014,3,bahrain,kvyat,Russian,alphatauri,12,Finished,0.0,11,1,0,0,0,3.0,0.0,12.0,7.0,0.0,7.0,19
2014,3,bahrain,grosjean,French,alpine,16,Finished,0.0,12,1,0,0,0,0.0,0.0,14.0,0.0,0.0,9.0,27
2014,3,bahrain,chilton,British,manor,21,Finished,0.0,13,1,0,0,0,0.0,0.0,17.0,0.0,0.0,11.0,22
2014,3,bahrain,maldonado,Venezuelan,alpine,17,Finished,0.0,14,1,0,0,0,0.0,0.0,21.0,0.0,0.0,9.0,29
2014,3,bahrain,kobayashi,Japanese,caterham,18,Finished,0.0,15,1,0,0,0,0.0,0.0,18.0,0.0,0.0,10.0,27
2014,3,bahrain,jules_bianchi,French,manor,19,Finished,0.0,16,1,0,0,0,0.0,0.0,20.0,0.0,0.0,11.0,24
2014,3,bahrain,button,British,mclaren,6,Mechanical Issue,0.0,17,1,0,0,0,23.0,0.0,4.0,43.0,0.0,2.0,34
2014,3,bahrain,kevin_magnussen,Danish,mclaren,8,Mechanical Issue,0.0,18,1,0,0,0,20.0,0.0,5.0,43.0,0.0,2.0,21
2014,3,bahrain,gutierrez,Mexican,alfa,15,Incident,0.0,19,1,0,0,0,0.0,0.0,16.0,0.0,0.0,8.0,22
2014,3,bahrain,ericsson,Swedish,caterham,20,Mechanical Issue,0.0,20,1,0,0,0,0.0,0.0,19.0,0.0,0.0,10.0,23
2014,3,bahrain,vergne,French,alphatauri,14,Mechanical Issue,0.0,21,1,0,0,0,4.0,0.0,11.0,7.0,0.0,7.0,23
2014,3,bahrain,sutil,German,alfa,22,Incident,0.0,22,1,0,0,0,0.0,0.0,15.0,0.0,0.0,8.0,31
2014,4,shanghai,hamilton,British,mercedes,1,Finished,25.0,1,1,0,0,0,50.0,2.0,2.0,111.0,3.0,1.0,29
2014,4,shanghai,rosberg,German,mercedes,4,Finished,18.0,2,1,0,0,0,61.0,1.0,1.0,111.0,3.0,1.0,28
2014,4,shanghai,alonso,Spanish,ferrari,5,Finished,15.0,3,1,0,0,0,26.0,0.0,4.0,33.0,0.0,5.0,32
2014,4,shanghai,ricciardo,Australian,red_bull,2,Finished,12.0,4,1,0,0,0,12.0,0.0,10.0,35.0,0.0,4.0,24
2014,4,shanghai,vettel,German,red_bull,3,Finished,10.0,5,1,0,0,0,23.0,0.0,6.0,35.0,0.0,4.0,26
2014,4,shanghai,hulkenberg,German,aston_martin,8,Finished,8.0,6,1,0,0,0,28.0,0.0,3.0,44.0,0.0,2.0,26
2014,4,shanghai,bottas,Finnish,williams,7,Finished,6.0,7,1,0,0,0,18.0,0.0,8.0,30.0,0.0,6.0,24
2014,4,shanghai,raikkonen,Finnish,ferrari,11,Finished,4.0,8,1,0,0,0,7.0,0.0,12.0,33.0,0.0,5.0,34
2014,4,shanghai,perez,Mexican,aston_martin,16,Finished,2.0,9,1,0,0,0,16.0,0.0,9.0,44.0,0.0,2.0,24
2014,4,shanghai,kvyat,Russian,alphatauri,13,Finished,1.0,10,1,0,0,0,3.0,0.0,14.0,7.0,0.0,7.0,19
2014,4,shanghai,button,British,mclaren,12,Finished,0.0,11,1,0,0,0,23.0,0.0,5.0,43.0,0.0,3.0,34
2014,4,shanghai,vergne,French,alphatauri,9,Finished,0.0,12,1,0,0,0,4.0,0.0,13.0,7.0,0.0,7.0,23
2014,4,shanghai,kevin_magnussen,Danish,mclaren,15,Finished,0.0,13,1,0,0,0,20.0,0.0,7.0,43.0,0.0,3.0,21
2014,4,shanghai,maldonado,Venezuelan,alpine,22,Finished,0.0,14,1,0,0,0,0.0,0.0,20.0,0.0,0.0,8.0,29
