,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
117,1959,4,team_lotus,3.0,0.0,4.0
118,1959,4,cooper-maserati,0.0,0.0,5.0
119,1959,4,maserati,0.0,0.0,8.0
120,1959,4,porsche,0.0,0.0,6.0
121,1959,4,aston_martin,0.0,0.0,7.0
122,1959,5,cooper-climax,18.0,1.0,1.0
123,1959,5,ferrari,16.0,1.0,2.0
124,1959,5,brm,8.0,1.0,3.0
125,1959,5,team_lotus,3.0,0.0,4.0
126,1959,5,aston_martin,0.0,0.0,8.0
127,1959,5,cooper-maserati,0.0,0.0,5.0
128,1959,5,maserati,0.0,0.0,6.0
129,1959,5,cooper-borgward,0.0,0.0,0.0
130,1959,5,porsche,0.0,0.0,7.0
131,1959,5,jbw,0.0,0.0,0.0
132,1959,5,vanwall,0.0,0.0,0.0
133,1959,5,fry,0.0,0.0,0.0
134,1959,6,cooper-climax,26.0,2.0,1.0
135,1959,6,ferrari,16.0,1.0,2.0
136,1959,6,brm,14.0,1.0,3.0
137,1959,6,team_lotus,3.0,0.0,4.0
138,1959,6,cooper-maserati,0.0,0.0,6.0
139,1959,6,aston_martin,0.0,0.0,5.0
140,1959,6,maserati,0.0,0.0,7.0
141,1959,6,cooper-borgward,0.0,0.0,8.0
142,1959,6,porsche,0.0,0.0,9.0
143,1959,6,jbw,0.0,0.0,10.0
144,1959,6,vanwall,0.0,0.0,11.0
145,1959,6,fry,0.0,0.0,12.0
146,1959,7,cooper-climax,29.0,2.0,1.0
147,1959,7,ferrari,24.0,2.0,2.0
148,1959,7,brm,16.0,1.0,3.0
149,1959,7,team_lotus,3.0,0.0,4.0
150,1959,7,aston_martin,0.0,0.0,6.0
151,1959,7,cooper-maserati,0.0,0.0,5.0
152,1959,7,maserati,0.0,0.0,7.0
153,1959,7,cooper-borgward,0.0,0.0,8.0
154,1959,7,porsche,0.0,0.0,9.0
155,1959,7,jbw,0.0,0.0,10.0
156,1959,7,vanwall,0.0,0.0,11.0
157,1959,7,fry,0.0,0.0,12.0
158,1959,8,cooper-climax,34.0,3.0,1.0
159,1959,8,ferrari,28.0,2.0,2.0
160,1959,8,brm,18.0,1.0,3.0
161,1959,8,team_lotus,3.0,0.0,4.0
162,1959,8,aston_martin,0.0,0.0,5.0
163,1959,8,cooper-maserati,0.0,0.0,6.0
164,1959,8,maserati,0.0,0.0,7.0
165,1959,8,cooper-borgward,0.0,0.0,8.0
166,1959,8,porsche,0.0,0.0,9.0
167,1959,8,jbw,0.0,0.0,10.0
168,1959,8,vanwall,0.0,0.0,11.0
169,1959,8,fry,0.0,0.0,12.0
170,1959,9,cooper-climax,38.0,4.0,1.0
171,1959,9,ferrari,32.0,2.0,2.0
172,1959,9,brm,18.0,1.0,3.0
173,1959,9,team_lotus,3.0,0.0,4.0
174,1959,9,aston_martin,0.0,0.0,5.0
175,1959,9,cooper-maserati,0.0,0.0,6.0
176,1959,9,kurtis_kraft,0.0,0.0,0.0
177,1959,9,porsche,0.0,0.0,9.0
178,1959,9,maserati,0.0,0.0,7.0
179,1959,9,cooper-borgward,0.0,0.0,8.0
180,1959,9,cooper-osca,0.0,0.0,0.0
181,1959,9,tec-mec,0.0,0.0,0.0
182,1959,9,connaught,0.0,0.0,0.0
183,1959,9,jbw,0.0,0.0,10.0
184,1959,9,vanwall,0.0,0.0,11.0
185,1959,9,fry,0.0,0.0,12.0
186,1960,1,cooper-climax,0.0,0.0,0.0
187,1960,1,ferrari,0.0,0.0,0.0
188,1960,1,cooper-maserati,0.0,0.0,0.0
189,1960,1,team_lotus,0.0,0.0,0.0
190,1960,1,brm,0.0,0.0,0.0
191,1960,1,behra-porsche,0.0,0.0,0.0
192,1960,1,maserati,0.0,0.0,0.0
193,1960,2,cooper-climax,8.0,1.0,1.0
194,1960,2,ferrari,6.0,0.0,2.0
195,1960,2,team_lotus,1.0,0.0,4.0
196,1960,2,cooper-maserati,3.0,0.0,3.0
197,1960,2,brm,0.0,0.0,5.0
198,1960,2,behra-porsche,0.0,0.0,6.0
199,1960,2,maserati,0.0,0.0,7.0
200,1960,2,jbw,0.0,0.0,0.0
201,1960,2,scarab,0.0,0.0,0.0
202,1960,2,cooper-castellotti,0.0,0.0,0.0
203,1960,3,cooper-climax,14.0,1.0,1.0
204,1960,3,ferrari,10.0,0.0,2.0
205,1960,3,team_lotus,9.0,1.0,3.0
206,1960,3,cooper-maserati,3.0,0.0,4.0
207,1960,3,brm,2.0,0.0,5.0
208,1960,3,behra-porsche,0.0,0.0,6.0
209,1960,3,maserati,0.0,0.0,7.0
210,1960,3,jbw,0.0,0.0,8.0
211,1960,3,scarab,0.0,0.0,9.0
212,1960,3,cooper-castellotti,0.0,0.0,10.0
213,1960,4,cooper-climax,14.0,1.0,1.0
214,1960,4,team_lotus,9.0,1.0,3.0
215,1960,4,ferrari,10.0,0.0,2.0
216,1960,4,brm,2.0,0.0,5.0
217,1960,4,cooper-maserati,3.0,0.0,4.0
218,1960,4,behra-porsche,0.0,0.0,6.0
219,1960,4,maserati,0.0,0.0,7.0
220,1960,4,aston_martin,0.0,0.0,0.0
221,1960,4,jbw,0.0,0.0,8.0
222,1960,4,scarab,0.0,0.0,9.0
223,1960,4,cooper-castellotti,0.0,0.0,10.0
224,1960,5,cooper-climax,22.0,2.0,1.0
225,1960,5,team_lotus,15.0,1.0,2.0
226,1960,5,ferrari,12.0,0.0,3.0
227,1960,5,brm,6.0,0.0,4.0
228,1960,5,cooper-maserati,3.0,0.0,5.0
229,1960,5,behra-porsche,0.0,0.0,6.0
230,1960,5,maserati,0.0,0.0,7.0
231,1960,5,scarab,0.0,0.0,10.0
232,1960,5,aston_martin,0.0,0.0,8.0
233,1960,5,jbw,0.0,0.0,9.0
234,1960,5,cooper-castellotti,0.0,0.0,11.0
235,1960,6,cooper-climax,30.0,3.0,1.0
236,1960,6,team_lotus,17.0,1.0,2.0
237,1960,6,ferrari,15.0,0.0,3.0
238,1960,6,brm,6.0,0.0,4.0
239,1960,6,cooper-maserati,3.0,0.0,5.0
240,1960,6,behra-porsche,0.0,0.0,6.0
241,1960,6,maserati,0.0,0.0,7.0
242,1960,6,scarab,0.0,0.0,8.0
243,1960,6,cooper-castellotti,0.0,0.0,11.0
244,1960,6,aston_martin,0.0,0.0,9.0
245,1960,6,vanwall,0.0,0.0,0.0
246,1960,6,jbw,0.0,0.0,10.0
247,1960,7,cooper-climax,38.0,4.0,1.0
248,1960,7,team_lotus,19.0,1.0,2.0
249,1960,7,ferrari,15.0,0.0,3.0
250,1960,7,brm,6.0,0.0,4.0
251,1960,7,cooper-maserati,3.0,0.0,5.0
252,1960,7,aston_martin,0.0,0.0,10.0
253,1960,7,behra-porsche,0.0,0.0,6.0
254,1960,7,maserati,0.0,0.0,7.0
255,1960,7,jbw,0.0,0.0,12.0
256,1960,7,cooper-castellotti,0.0,0.0,9.0
257,1960,7,scarab,0.0,0.0,8.0
258,1960,7,vanwall,0.0,0.0,11.0
259,1960,8,cooper-climax,46.0,5.0,1.0
260,1960,8,team_lotus,25.0,1.0,2.0
261,1960,8,ferrari,16.0,0.0,3.0
262,1960,8,brm,6.0,0.0,4.0
263,1960,8,cooper-maserati,3.0,0.0,5.0
264,1960,8,aston_martin,0.0,0.0,6.0
265,1960,8,behra-porsche,0.0,0.0,7.0
266,1960,8,maserati,0.0,0.0,8.0
267,1960,8,jbw,0.0,0.0,9.0
268,1960,8,cooper-castellotti,0.0,0.0,10.0
269,1960,8,scarab,0.0,0.0,11.0
270,1960,8,vanwall,0.0,0.0,12.0
271,1960,9,cooper-climax,48.0,6.0,1.0
272,1960,9,team_lotus,28.0,1.0,2.0
273,1960,9,ferrari,19.0,0.0,3.0
274,1960,9,brm,6.0,0.0,4.0
275,1960,9,cooper-maserati,3.0,0.0,5.0
276,1960,9,cooper-castellotti,0.0,0.0,10.0
277,1960,9,porsche,0.0,0.0,0.0
278,1960,9,behra-porsche,0.0,0.0,7.0
279,1960,9,aston_martin,0.0,0.0,6.0
280,1960,9,maserati,0.0,0.0,8.0
281,1960,9,jbw,0.0,0.0,9.0
282,1960,9,scarab,0.0,0.0,11.0
283,1960,9,vanwall,0.0,0.0,12.0
284,1960,10,cooper-climax,48.0,6.0,1.0
285,1960,10,team_lotus,28.0,1.0,2.0
286,1960,10,ferrari,26.0,1.0,3.0
287,1960,10,brm,6.0,0.0,4.0
288,1960,10,cooper-maserati,3.0,0.0,5.0
289,1960,10,cooper-castellotti,3.0,0.0,6.0
290,1960,10,porsche,1.0,0.0,7.0
291,1960,10,behra-porsche,0.0,0.0,8.0
292,1960,10,scarab,0.0,0.0,12.0
293,1960,10,aston_martin,0.0,0.0,9.0
294,1960,10,maserati,0.0,0.0,10.0
295,1960,10,jbw,0.0,0.0,11.0
296,1960,10,vanwall,0.0,0.0,13.0
297,1961,1,lotus-climax,0.0,0.0,0.0
298,1961,1,ferrari,0.0,0.0,0.0
299,1961,1,porsche,0.0,0.0,0.0
300,1961,1,cooper-climax,0.0,0.0,0.0
301,1961,1,cooper-maserati,0.0,0.0,0.0
302,1961,1,brm,0.0,0.0,0.0
303,1961,1,emeryson,0.0,0.0,0.0
304,1961,2,ferrari,6.0,0.0,2.0
305,1961,2,lotus-climax,9.0,1.0,1.0
306,1961,2,porsche,2.0,0.0,3.0
307,1961,2,cooper-climax,1.0,0.0,4.0
308,1961,2,cooper-maserati,0.0,0.0,5.0
309,1961,2,brm,0.0,0.0,6.0
310,1961,2,emeryson,0.0,0.0,7.0
311,1961,3,ferrari,15.0,1.0,1.0
312,1961,3,lotus-climax,13.0,1.0,2.0
313,1961,3,cooper-climax,2.0,0.0,4.0
314,1961,3,porsche,2.0,0.0,3.0
315,1961,3,cooper-maserati,0.0,0.0,5.0
316,1961,3,brm,0.0,0.0,6.0
