model,n_races,top1_accuracy,top1_accuracy_lo,top1_accuracy_hi,podium_hit_rate,podium_hit_rate_lo,podium_hit_rate_hi,spearman_rho,spearman_rho_lo,spearman_rho_hi,ndcg_at_10,ndcg_at_10_lo,ndcg_at_10_hi,winner_log_loss,winner_log_loss_lo,winner_log_loss_hi,winner_brier,winner_brier_lo,winner_brier_hi
naive: previous winner,35,0.34285714285714286,0.2,0.5142857142857142,0.31602020925329194,0.2725368978000557,0.3589131559056371,0.2670586930456121,0.2027239281179557,0.31852225071162743,0.6917163262517305,0.6725917838055779,0.7077863256771256,2.761636424970105,2.598928685033678,2.9106974921905207,0.04435811903739693,0.042993253172584345,0.0457127787409441
naive: most wins so far,35,0.2932034632034632,0.15714285714285714,0.43939393939393934,0.5649109425801155,0.494579976275465,0.6349216791979949,0.44668476572105753,0.3790095451284878,0.510426307872644,0.7517375864464864,0.722008614221286,0.7794211761620606,2.212809545008981,1.935862455198632,2.5060774391893226,0.04028659253112814,0.036903556186953165,0.04353994609336944
lightgbm: lambdarank,35,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5523809523809523,0.4857142857142856,0.6190476190476191,0.5612910722326331,0.49290727004287377,0.6274716755571086,0.8460151337681767,0.8179085532924423,0.8730748321077534,1.9171139059901119,1.7687404927137347,2.08039025011606,0.03916173159718122,0.03711384356952469,0.04130264137716517
naive: championship leader,35,0.25987012987012986,0.1183116883116883,0.4028571428571429,0.589134199134199,0.5207359307359308,0.6571428571428573,0.5589599830611994,0.49555484192183463,0.6170917820179016,0.8333638051669434,0.7995635977919983,0.8647398341355601,2.087276624790192,1.8972847529965668,2.2849680584401124,0.040134586122460555,0.03745589034853615,0.04270222194218857
llm: gemini,35,0.22857142857142856,0.08571428571428572,0.37142857142857144,0.5619047619047618,0.4952380952380951,0.638095238095238,0.49690845117232296,0.424911115104988,0.565418720048933,0.7896362048547889,0.7597968365017262,0.8172140390365092,2.2880872847079337,1.802372998993647,2.801800436349465,0.047239074160344244,0.03983316391381583,0.05402053263156644
naive: best recent form,35,0.21428571428571427,0.08571428571428572,0.35714285714285715,0.5119047619047619,0.43809523809523804,0.5857142857142857,0.5184422766845173,0.4486745587087107,0.5850127608004222,0.8222019729157263,0.7919734007524607,0.850140620798771,2.1952683321426156,1.9935098827646813,2.3976943637408956,0.04146754130058202,0.03889529399527411,0.04390378070451408
naive: strongest constructor,35,0.14285714285714285,0.04285714285714286,0.2571428571428571,0.3857142857142857,0.2952380952380952,0.4761904761904762,0.451706304214318,0.37446389793162654,0.5229244003674062,0.7926882259299575,0.7591388572774262,0.8233515980344877,2.416150991574296,2.1983250361198725,2.6373525802895323,0.04374275534416395,0.04111246454495834,0.04621968589671879
naive: random,35,0.05714285714285714,0.0,0.14285714285714285,0.1238095238095238,0.07619047619047618,0.18095238095238092,-0.052669731924390305,-0.12300410540750521,0.018357218568725592,0.5950020446250901,0.5629600309386369,0.6259032111635893,3.0128678689341366,2.925093798515732,3.106490634735583,0.04622358918136726,0.045531176629453794,0.04691372157955544
